temperature,time,buffer_pH,gated_median,percent_gated,overall_median
22,48,5.0,5680.0,0.92483,5345.0
22,48,5.0,4935.0,0.94086,4693.0
22,48,5.0,5733.0,0.92011,5343.0
22,48,6.0,6300.0,0.87851,5520.0
22,48,6.0,6503.0,0.91378,6052.0
22,48,6.0,6659.0,0.9082399999999999,6121.0
22,48,7.0,5656.0,0.85733,4717.0
22,48,7.0,7555.0,0.90354,6858.0
22,48,7.0,5837.0,0.8645499999999999,4893.0
22,72,5.0,4944.0,0.93473,4637.0
22,72,5.0,4846.0,0.94552,4638.0
22,72,5.0,4281.0,0.94887,4112.0
22,72,6.0,8465.0,0.95163,8083.0
22,72,6.0,8113.0,0.94746,7773.0
22,72,6.0,8201.0,0.95003,7886.0
22,72,7.0,10384.0,0.95866,10044.0
22,72,7.0,9593.0,0.95122,9208.0
22,72,7.0,8850.0,0.92901,8309.0
